N,                    U_ss,                    U_pp,                  zeta_s,                  zeta_p,                  beta_s,                  beta_p,                    g_ss,                    g_sp,                    g_pp,                    g_p2,                    h_sp,                   alpha,             Gaussian1_K,             Gaussian2_K,             Gaussian1_L,             Gaussian2_L,             Gaussian1_M,             Gaussian2_M
1, -1.3208172815604247e+01,  0.0000000000000000e+00,  1.0194544393453222e+00,  0.0000000000000000e+00, -5.6368028609730256e+00,  0.0000000000000000e+00,  1.4661846690370336e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  3.2011874025171125e+00,  1.1145486593136913e+00, -1.0594687757621721e+00,  5.1728603795787649e+00,  5.8979145574766445e+00,  1.6000974868001234e+00,  1.6218904686779543e+00
6, -4.7300860648618389e+01, -3.6300472119191319e+01,  1.6071052769441045e+00,  1.8980059530155182e+00, -1.2018551957141122e+01, -9.8662390157122495e+00,  1.1003200750443694e+01,  1.0259693976831604e+01,  1.0456562314625156e+01,  9.0438135931603671e+00,  2.3062082292168467e+00,  2.7070437861807424e+00,  3.0364497441567020e-02,  3.8161545821527580e-02,  7.0071040102610347e+00,  6.2382466223343718e+00,  1.5584975949776094e+00,  7.6366862230889787e-01
7, -4.9355825891050024e+01, -4.7478862198251512e+01,  2.0139595916355209e+00,  2.3727200615595638e+00, -1.3883447466553571e+01, -1.9748958021793094e+01,  1.1912782900663910e+01,  7.3600839181409912e+00,  1.2713554993086241e+01,  1.0803675602822766e+01,  1.2439471963215514e+00,  2.8417941669859341e+00,  1.4976190811964400e+00, -1.5067222650089311e+00,  5.9567352369000464e+00,  5.9685810080477024e+00,  1.7181281057573363e+00,  1.7229653366422593e+00
8, -8.6968539607960679e+01, -7.1875363804522323e+01,  3.9842317072221101e+00,  2.4536220233951833e+00, -4.5016991003659719e+01, -2.4452811882595892e+01,  1.5627963480555978e+01,  1.0612444520836243e+01,  1.4135069428713329e+01,  1.2362289567684464e+01,  5.9270079668820885e-01,  3.2750800196956611e+00, -1.1356931444957012e+00,  1.1304983070782977e+00,  5.9712697116360278e+00,  5.9634393936119006e+00,  1.6074951881013553e+00,  1.6012966726569680e+00
