ln_E,probability_lower_transmission,v_init (A/fs)
-3.701755234,0.982818368,0.108682557
-3.597263188,0.974848089,0.114511738
-3.459165418,0.951743146,0.12269802
-3.330641652,0.931990716,0.130841687
-3.23054978,0.912093226,0.137556403
-3.111019777,0.875288107,0.146028095
-2.897151975,0.854270425,0.162508927
-2.779604468,0.887183083,0.172346449
-2.676417968,0.92512451,0.18147174
-2.549199749,0.951283787,0.193390034
-2.364682559,0.962429283,0.212080866
-2.20298825,0.942846091,0.229939171
-2.024273488,0.824710282,0.251431901
-1.828344858,0.601220122,0.277310134
-1.603887626,0.374474155,0.31024587
-1.380349113,0.346703093,0.346933934
-1.101010589,0.523298358,0.398937048
-0.813065132,0.897216447,0.460713493
-0.450945312,0.996002772,0.552159122
0.027271409,0.678714762,0.701306223
0.636187805,0.265154812,0.950894222
