N,sym,U_ss,U_pp,zeta,beta_s,beta_p,g_ss,g_sp,g_pp,g_p2,h_sp,alpha,beta_pi,beta_sh,beta_ph,alpha_s,alpha_p,alpha_pi,alpha_s_h,alpha_p_h,fval1,fval2,dd_om2,qq_om2,am_om2,ad_om2,aq_om2,hyf,EISOL,gval1,gval2,zscor,fscor,bscor,ascor,c6_1,r0_1,c6_2,r0_2
1,H,-12.45828647,0.0,1.25906452,-3.40064659,0.0,12.848,0.0,0.0,0.0,0.0,0.06931667,0.0,-3.40064659,0.0,0.06931667,0.0,0.0,0.06931667,0.0,0.25393975,0.0,0.0,0.0,0.4721793,0.4721793,0.4721793,0.0,-12.45828647,0.35600772,0.0,0.0,0.0,0.0,0.0,0.13699517,0.09359344,0.14146973,0.10158635
6,C,-50.5599731,-39.60463506,1.27811536,-7.15007507,-4.00965991,12.23,11.47,11.08,9.84,2.43,0.09197146,-5.63958651,-6.19914817,-4.23218526,0.09197146,0.05274021,0.09864674,0.10023679,0.0549272,0.41151269,0.0,0.0,0.0,0.4494671,0.6694531,0.726988,3.76845483,-117.85921632,0.10398816,0.0,5.7,-283.81699,-22.48815939,0.15323932,1.76051239,0.1436985,1.75148586,0.15275442
7,N,-75.98413465,-57.38630489,1.30965521,-13.42485887,-5.69143961,13.59,12.66,12.98,11.59,3.14,0.0946121,-8.25767437,-11.40440049,-7.87479008,0.0946121,0.06941595,0.10511596,0.11356707,0.09244486,0.58223498,0.0,0.0,0.0,0.4994487,0.8521126,0.9530874,3.05323762,-211.31218397,0.05928617,0.0,6.73673665,-380.9426141,-22.78185605,0.15915338,1.2305005,0.1397,1.23148586,0.14115458
8,O,-105.79319826,-78.9050249,1.20838191,-14.42839639,-8.77114206,15.42,14.48,14.52,12.98,3.94,0.12962541,-12.94995697,-13.56403003,-9.42200507,0.12962541,0.09275135,0.16086067,0.14516313,0.10981869,0.55266327,0.0,0.0,0.0,0.5667034,0.9764113,1.0398973,2.8527908,-334.59649612,0.06226814,0.0,7.74239776,-512.519,-26.13251784,0.18281098,0.7,0.1342,0.70136073,0.13573278
9,F,-120.65477058,-107.50304443,1.20564838,-6.19918959,-13.82075048,16.92,17.25,16.71,14.91,4.83,0.31128286,-18.96710976,-8.06286638,-13.9238091,0.31128286,0.12448702,0.21596283,0.32623663,0.15497349,1.03522357,0.0,0.0,0.0,0.6218302,1.0805856,1.09991,2.50824141,-464.45476331,0.14035077,0.0,8.7036711,-685.41999336,-10.62649349,0.00010713,0.75,0.1287,0.75,0.1287
