N,sym,U_ss,U_pp,zeta,beta_s,beta_p,g_ss,g_sp,g_pp,g_p2,h_sp,alpha,beta_pi,beta_sh,beta_ph,alpha_s,alpha_p,alpha_pi,alpha_s_h,alpha_p_h,fval1,fval2,dd_om1,qq_om1,am_om1,ad_om1,aq_om1,hyf,EISOL
1,H,-12.83851861,0.0,1.20948930,-4.89312435,0.0,12.8480000,0.0,0.0,0.0,0.0,0.0,0.0,-4.89312435,0.0,0.09653898,0.0,0.0,0.09653898,0.0,0.54128873,0.84668969,0.0,0.0,0.4721793,0.4721793,0.4721793,0.0,-12.83851861
6,C,-50.15945000,-38.76257345,1.13551142,-7.58632270,-4.49894163,12.2300000,11.4700000,11.0800000,9.8400000,2.4300000,0.0,-5.91210138,-7.58632270,-4.49894163,0.09325105,0.05398748,0.10477244,0.09325105,0.05398748,0.50383851,0.66944409,0.8344584,0.8014682,0.4494671,0.6039891,0.6013811,4.24171868,-115.37404690
7,N,-71.33505463,-56.58315267,1.16081665,-12.00586167,-9.64950408,13.5900000,12.6600000,12.9800000,11.5900000,3.1400000,0.0,-10.16405908,-8.08332477,-11.48923075,0.10185884,0.08540515,0.14350678,0.07514671,0.11556228,0.63476395,0.31135759,0.6776677,0.5887890,0.4994487,0.7602786,0.7688050,3.44472020,-199.60456727
8,O,-93.04158571,-77.59792792,1.10190209,-6.22223757,-9.94028730,15.4200000,14.4800000,14.5200000,12.9800000,3.9400000,0.0,-11.29342651,-6.45960578,-12.47451386,0.10891616,0.09666556,0.15255321,0.07953217,0.12908958,0.68193417,0.47652748,0.6154516,0.5162333,0.5667034,0.8894516,0.8688318,3.12846379,-303.86488310
9,F,-121.69518463,-106.37310634,1.16498140,-5.73558167,-16.36168108,16.9200000,17.2500000,16.7100000,14.9100000,4.8300000,0.0,-17.22481680,-5.73558167,-16.36168108,0.19374572,0.13034754,0.22033729,0.19374572,0.13034754,1.19938976,0.49484369,0.5106623,0.3932237,0.6218302,1.0805856,1.0999100,2.59579869,-460.88590096
