N,sym,C_6,R_0
1,H,0.14,1.001
2,He,0.08,1.012
3,Li,1.61,0.825
4,Be,1.61,1.408
5,B,3.13,1.485
6,C,1.75,1.452
7,N,1.23,1.397
8,O,0.7,1.342
9,F,0.75,1.287
10,Ne,0.63,1.243
11,Na,5.71,1.144
12,Mg,5.71,1.364
13,Al,10.79,1.639
14,Si,9.23,1.716
15,P,7.84,1.705
16,S,5.57,1.683
17,Cl,5.07,1.639
18,Ar,4.61,1.595
19,K,10.8,1.485
20,Ca,10.8,1.474
21,Sc,10.8,1.562
22,Ti,10.8,1.562
23,V,10.8,1.562
24,Cr,10.8,1.562
25,Mn,10.8,1.562
26,Fe,10.8,1.562
27,Co,10.8,1.562
28,Ni,10.8,1.562
29,Cu,10.8,1.562
30,Zn,10.8,1.562
31,Ga,16.99,1.65
32,Ge,17.1,1.727
33,As,16.37,1.76
34,Se,12.64,1.771
35,Br,12.47,1.749
36,Kr,12.01,1.727
37,Rb,24.67,1.628
38,Sr,24.67,1.606
39,Y,24.67,1.639
40,Zr,24.67,1.639
41,Nb,24.67,1.639
42,Mo,24.67,1.639
43,Tc,24.67,1.639
44,Ru,24.67,1.639
45,Rh,24.67,1.639
46,Pd,24.67,1.639
47,Ag,24.67,1.639
48,Cd,24.67,1.639
49,In,37.32,1.672
50,Sn,38.71,1.804
51,Sb,38.44,1.881
52,Te,31.74,1.892
53,I,31.5,1.892
54,Xe,29.99,1.881
