   N, sym,         U_ss,         U_pp,       zeta_s,       zeta_p,       zeta_d,       beta_s,       beta_p,         g_ss,         g_sp,         g_pp,         g_p2,         h_sp,        alpha,  Gaussian1_K,  Gaussian1_L,  Gaussian1_M,  Gaussian2_K,  Gaussian2_L,  Gaussian2_M,  Gaussian3_K,  Gaussian3_L,  Gaussian3_M,  Gaussian4_K,  Gaussian4_L,  Gaussian4_M
  48,  Cd,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  49,  In,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  50,  Sn,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  51,  Sb,  -44.4381620,  -32.3895140,    2.2548230,    2.2185920,            0,   -7.3823300,   -3.6331190,   11.4302510,    5.7879220,    6.4240940,    6.8491810,    0.5883400,    2.2763310,   -0.5964470,    6.0279500,    1.7103670,    0.8955130,    3.0281090,    1.5383180,            0,            0,            0,            0,            0,            0
  52,  Te,  -39.2454230,  -30.8515845,    2.1321165,    1.9712680,            0,   -8.3897294,   -5.1065429,    4.9925231,    4.9721484,    7.2097852,    5.6211521,    4.0071821,    6.0171167,    0.4873378,    6.0519413,    1.3079857,    0.1520464,    3.8304067,    2.0899707,            0,            0,            0,            0,            0,            0
  53,   I, -103.5896630,  -74.4299970,    2.1028580,    2.1611530,    1.0000000,   -8.4433270,   -6.3234050,   15.0404486,   13.0565580,   11.1477837,    9.9140907,    2.4563820,    2.2994240,    0.0043610,    2.3000000,    1.8000000,    0.0157060,    3.0000000,    2.2400000,            0,            0,            0,            0,            0,            0
  54,  Xe,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  55,  Cs,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  56,  Ba,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  57,  La,            0,            0,            0,            0,            0,            0,            0,   55.7344864,            0,            0,            0,            0,    2.1879021,    1.3207809,    7.1394307,    1.8503282,    0.3425778,    8.7780632,    3.1678964,            0,            0,            0,            0,            0,            0
  58,  Ce,            0,            0,            0,            0,            0,            0,            0,   58.7223887,            0,            0,            0,            0,    2.6637770,    1.7507655,    7.6163181,    1.8064853,    0.0093401,    8.7664931,    3.2008171,            0,            0,            0,            0,            0,            0
  59,  Pr,            0,            0,            0,            0,            0,            0,            0,   58.9017644,            0,            0,            0,            0,    2.6104230,    1.7515391,    7.6039743,    1.8084677,    0.0097057,    8.7264195,    2.9111890,            0,            0,            0,            0,            0,            0
  60,  Nd,            0,            0,            0,            0,            0,            0,            0,   57.6242766,            0,            0,            0,            0,    4.5002951,    1.1206946,    6.8295606,    1.7859050,    0.1070369,   10.7894805,    3.1628661,            0,            0,            0,            0,            0,            0
  61,  Pm,            0,            0,            0,            0,            0,            0,            0,   59.4249706,            0,            0,            0,            0,    3.1059834,    1.7347671,    9.2464226,    1.7533419,    0.2571017,    7.8793445,    3.0498163,            0,            0,            0,            0,            0,            0
  62,  Sm,            0,            0,            0,            0,            0,            0,            0,   56.9935145,            0,            0,            0,            0,    4.1758509,    0.9592885,    6.4799924,    1.7381402,    0.0261004,    9.7391952,    2.8881177,            0,            0,            0,            0,            0,            0
  63,  Eu,            0,            0,            0,            0,            0,            0,            0,   55.6059122,            0,            0,            0,            0,    2.1247189,    0.5695122,    7.4680208,    1.7319730,    0.3286619,    7.8009780,    2.9641285,            0,            0,            0,            0,            0,            0
  64,  Gd,            0,            0,            0,            0,            0,            0,            0,   55.7083248,            0,            0,            0,            0,    3.6525485,    0.7013512,    7.5454483,    1.7761953,    0.1293094,    8.3437991,    3.0110320,            0,            0,            0,            0,            0,            0
  65,  Tb,            0,            0,            0,            0,            0,            0,            0,   55.7245957,            0,            0,            0,            0,    2.3418889,    0.7734458,    7.6510526,    1.7033464,    0.3936233,    7.9261457,    3.0132951,            0,            0,            0,            0,            0,            0
