  N,     sym,       U_ss,             U_pp,            U_dd,            zeta_s,          zeta_p,          zeta_d,          beta_s,          beta_p,          beta_d,          s_orb_exp_tail,  p_orb_exp_tail,  d_orb_exp_tail,  g_ss,            g_sp,            g_pp,            g_p2,            h_sp,            F0SD,             G2SD,             rho_core,         alpha,           EISOL,            Gaussian1_K,     Gaussian1_L,     Gaussian1_M,     Gaussian2_K,     Gaussian2_L,     Gaussian2_M,     Gaussian3_K,     Gaussian3_L,     Gaussian3_M,     Gaussian4_K,     Gaussian4_L,     Gaussian4_M,     z_s,     z_p,     z_d
1,     H,-11.62298,0,0,1.37436,0,0,-8.89352,0,0,0,0,0,16.30813,0,0,0,0,0,0,0,3.36644,0,0.02387,3.34663,1.87533,0,0,0,0,0,0,0,0,0,0,0,0
2,    He,-31.77097,-5.85638,0,3.3132,3.65713,0,-58.90377,-37.03997,0,0,0,0,9.4453,11.20142,9.21455,13.04612,0.29995,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,    Li,-4.70991,-2.72258,0,0.98104,2.95344,0,-2.28395,-7.53557,0,0,0,0,11.03591,19.99865,11.54365,9.05904,1.64189,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,    Be,-16.36031,-16.33922,0,1.21254,1.27649,0,-3.19955,-4.45192,0,0,0,0,7.5528,10.20315,12.86215,13.60286,1.50145,0,0,0,1.59354,0,0.16418,1.70483,1.78559,0,0,0,0,0,0,0,0,0,0,0,0
5,     B,-25.96768,-19.11586,0,1.63417,1.4792,0,-4.95971,-4.65675,0,0,0,0,8.17934,7.29402,7.82939,6.40107,1.25284,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,     C,-51.34889,-39.57463,0,2.00548,1.674,0,-14.63901,-8.05239,0,0,0,0,12.02007,10.97296,11.06753,9.34285,1.17133,0,0,0,2.71789,0,0.03606,2.22002,1.46823,0,0,0,0,0,0,0,0,0,0,0,0
7,     N,-59.12057,-49.05892,0,2.4238,1.99431,0,-18.50638,-15.66695,0,0,0,0,13.26896,8.94313,13.42475,9.85831,1.38006,0,0,0,2.8406,0,-0.01063,0.97071,1.49736,0,0,0,0,0,0,0,0,0,0,0,0
8,     O,-90.44897,-71.02386,0,5.37131,2.29856,0,-66.54376,-21.96269,0,0,0,0,10.06149,15.68373,13.16095,10.63518,5.78622,0,0,0,3.22714,0,-0.01385,3.04082,2.01692,0,0,0,0,0,0,0,0,0,0,0,0
9,     F,-140.22563,-98.77804,0,6.04385,2.90672,0,-69.92259,-30.44816,0,0,0,0,12.44682,18.49608,8.41737,12.17982,2.60438,0,0,0,3.35892,0,-0.01079,6.00465,1.84772,0,0,0,0,0,0,0,0,0,0,0,0
10,    Ne,-2.97873,-85.44112,0,6.00015,3.83453,0,-69.79348,-33.26196,0,0,0,0,19.99957,16.89695,8.96356,16.0278,1.77928,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
